simId,setA,setB,gameA,gameB,pointsA,pointsB,propServerA,propServerB,server,pointWinner
0,0,0,0,0,0,0,0.51,0.52,0,0
0,0,0,0,0,1,0,0.51,0.52,0,1
0,0,0,0,0,1,1,0.51,0.52,0,1
0,0,0,0,0,1,2,0.51,0.52,0,0
0,0,0,0,0,2,2,0.51,0.52,0,0
0,0,0,0,0,3,2,0.51,0.52,0,1
0,0,0,0,0,3,3,0.51,0.52,0,0
0,0,0,0,0,4,3,0.51,0.52,0,1
0,0,0,0,0,4,4,0.51,0.52,0,1
0,0,0,0,0,4,5,0.51,0.52,0,1
0,0,0,0,1,0,0,0.51,0.52,1,0
0,0,0,0,1,1,0,0.51,0.52,1,0
0,0,0,0,1,2,0,0.51,0.52,1,1
0,0,0,0,1,2,1,0.51,0.52,1,0
0,0,0,0,1,3,1,0.51,0.52,1,1
0,0,0,0,1,3,2,0.51,0.52,1,1
0,0,0,0,1,3,3,0.51,0.52,1,1
0,0,0,0,1,3,4,0.51,0.52,1,0
0,0,0,0,1,4,4,0.51,0.52,1,0
0,0,0,0,1,5,4,0.51,0.52,1,1
0,0,0,0,1,5,5,0.51,0.52,1,0
0,0,0,0,1,6,5,0.51,0.52,1,1
0,0,0,0,1,6,6,0.51,0.52,1,1
0,0,0,0,1,6,7,0.51,0.52,1,0
0,0,0,0,1,7,7,0.51,0.52,1,1
0,0,0,0,1,7,8,0.51,0.52,1,0
0,0,0,0,1,8,8,0.51,0.52,1,1
0,0,0,0,1,8,9,0.51,0.52,1,1
0,0,0,0,2,0,0,0.51,0.52,0,0
0,0,0,0,2,1,0,0.51,0.52,0,0
0,0,0,0,2,2,0,0.51,0.52,0,1
0,0,0,0,2,2,1,0.51,0.52,0,0
0,0,0,0,2,3,1,0.51,0.52,0,1
0,0,0,0,2,3,2,0.51,0.52,0,0
0,0,0,1,2,0,0,0.51,0.52,1,0
0,0,0,1,2,1,0,0.51,0.52,1,0
0,0,0,1,2,2,0,0.51,0.52,1,1
0,0,0,1,2,2,1,0.51,0.52,1,0
0,0,0,1,2,3,1,0.51,0.52,1,1
0,0,0,1,2,3,2,0.51,0.52,1,0
0,0,0,2,2,0,0,0.51,0.52,0,0
0,0,0,2,2,1,0,0.51,0.52,0,0
0,0,0,2,2,2,0,0.51,0.52,0,0
0,0,0,2,2,3,0,0.51,0.52,0,0
0,0,0,3,2,0,0,0.51,0.52,1,1
0,0,0,3,2,0,1,0.51,0.52,1,1
0,0,0,3,2,0,2,0.51,0.52,1,1
0,0,0,3,2,0,3,0.51,0.52,1,0
0,0,0,3,2,1,3,0.51,0.52,1,0
0,0,0,3,2,2,3,0.51,0.52,1,0
0,0,0,3,2,3,3,0.51,0.52,1,0
0,0,0,3,2,4,3,0.51,0.52,1,1
0,0,0,3,2,4,4,0.51,0.52,1,0
0,0,0,3,2,5,4,0.51,0.52,1,0
0,0,0,4,2,0,0,0.51,0.52,0,0
0,0,0,4,2,1,0,0.51,0.52,0,1
0,0,0,4,2,1,1,0.51,0.52,0,1
0,0,0,4,2,1,2,0.51,0.52,0,1
0,0,0,4,2,1,3,0.51,0.52,0,1
0,0,0,4,3,0,0,0.51,0.52,1,1
0,0,0,4,3,0,1,0.51,0.52,1,0
0,0,0,4,3,1,1,0.51,0.52,1,0
0,0,0,4,3,2,1,0.51,0.52,1,0
0,0,0,4,3,3,1,0.51,0.52,1,1
0,0,0,4,3,3,2,0.51,0.52,1,1
0,0,0,4,3,3,3,0.51,0.52,1,0
0,0,0,4,3,4,3,0.51,0.52,1,1
0,0,0,4,3,4,4,0.51,0.52,1,0
0,0,0,4,3,5,4,0.51,0.52,1,1
0,0,0,4,3,5,5,0.51,0.52,1,0
0,0,0,4,3,6,5,0.51,0.52,1,0
0,0,0,5,3,0,0,0.51,0.52,0,0
0,0,0,5,3,1,0,0.51,0.52,0,0
0,0,0,5,3,2,0,0.51,0.52,0,0
0,0,0,5,3,3,0,0.51,0.52,0,0
0,1,0,0,0,0,0,0.51,0.52,0,1
0,1,0,0,0,0,1,0.51,0.52,0,1
0,1,0,0,0,0,2,0.51,0.52,0,1
0,1,0,0,0,0,3,0.51,0.52,0,1
0,1,0,0,1,0,0,0.51,0.52,1,0
0,1,0,0,1,1,0,0.51,0.52,1,1
0,1,0,0,1,1,1,0.51,0.52,1,0
0,1,0,0,1,2,1,0.51,0.52,1,0
0,1,0,0,1,3,1,0.51,0.52,1,0
0,1,0,1,1,0,0,0.51,0.52,0,1
0,1,0,1,1,0,1,0.51,0.52,0,1
