propServerA,propServerB,bestof,model,pointServeRate,pointRate,holdRate,gameRate,setRate,winRate,expPoints,expGames,expSets,tiebreakRate,medianTGames
0.1,0.1,3,static,0.099851,0.5,0.001396,0.50005,0.49992,0.5005,86.326,16.128,1.245,0.98406,26
0.1,0.11,3,static,0.099863,0.49682,0.0013806,0.4974,0.46889,0.4516,86.155,16.136,1.1756,0.97966,35
0.1,0.12,3,static,0.099963,0.49361,0.0014547,0.49478,0.43854,0.409,84.645,15.887,1.0899,0.97324,26
0.1,0.13,3,static,0.10026,0.49018,0.0014806,0.49215,0.40927,0.364,84.15,15.803,1.0186,0.96725,26
0.1,0.14,3,static,0.099687,0.48694,0.0013104,0.48952,0.38269,0.3313,82.871,15.568,0.9452,0.95951,26
0.1,0.15,3,static,0.09983,0.48379,0.0013519,0.48681,0.35515,0.2858,81.696,15.382,0.8738,0.94789,26
0.1,0.16,3,static,0.099904,0.48045,0.0012938,0.48398,0.32677,0.2497,80.672,15.156,0.7985,0.93919,26
0.1,0.17,3,static,0.10046,0.47751,0.0013849,0.48133,0.30552,0.2245,79.177,14.881,0.7404,0.92098,26
0.1,0.18,3,static,0.099791,0.47401,0.0013646,0.47854,0.28116,0.1915,77.698,14.618,0.6756,0.90611,26
0.1,0.19,3,static,0.099972,0.47093,0.0014064,0.47606,0.26096,0.1713,76.517,14.382,0.622,0.89385,26
0.1,0.2,3,static,0.099903,0.46724,0.0014759,0.47238,0.23687,0.1409,74.72,14.042,0.5596,0.86629,26
0.1,0.21,3,static,0.099779,0.46402,0.0013425,0.4695,0.21884,0.1239,73.226,13.742,0.5119,0.8449,26
0.1,0.22,3,static,0.1001,0.46073,0.0016311,0.46602,0.19611,0.1016,71.447,13.391,0.4533,0.81865,26
0.1,0.23,3,static,0.099821,0.45721,0.0013457,0.46214,0.17508,0.082,69.873,13.058,0.4008,0.79063,26
0.1,0.24,3,static,0.099703,0.45388,0.0015476,0.45857,0.16069,0.0687,68.071,12.736,0.3647,0.75749,26
0.1,0.25,3,static,0.099571,0.45008,0.0014038,0.45459,0.14316,0.0562,66.392,12.371,0.3212,0.72959,26
0.1,0.26,3,static,0.099769,0.44685,0.0013919,0.45045,0.12994,0.0452,64.933,12.047,0.2895,0.69123,26
0.1,0.27,3,static,0.099888,0.4433,0.0012452,0.44596,0.11803,0.0379,63.174,11.701,0.2608,0.65538,26
0.1,0.28,3,static,0.099431,0.43945,0.0014059,0.44154,0.10251,0.0298,61.398,11.339,0.224,0.62089,25
0.1,0.29,3,static,0.10007,0.4357,0.0014658,0.43595,0.09022,0.0229,59.56,10.929,0.1953,0.57389,23
0.1,0.3,3,static,0.099163,0.43108,0.0013812,0.42935,0.07392,0.0155,57.311,10.463,0.1579,0.52872,23
0.1,0.31,3,static,0.10006,0.42706,0.0014622,0.42338,0.068465,0.0134,55.746,10.116,0.1457,0.48705,23
0.1,0.32,3,static,0.099674,0.4238,0.0014806,0.41835,0.058048,0.01,54.258,9.7843,0.1224,0.4521,23
